## frequency[GHz]  I  Q  LogM[dB] Phase[deg]
3000000000.0 -0.003577228 -0.005675119 -43.46753363328506 -122.22467961064841
3000400000.0 -0.004224858 -0.00520289 -43.475651883108156 -129.07733729401576
3000800000.0 -0.004787161 -0.004730477 -43.43956226382103 -135.34123125583608
3001200000.0 -0.005232784 -0.004185339 -43.47762451995771 -141.34612226494232
3001600000.0 -0.005613567 -0.003602443 -43.517402295875854 -147.31014142386226
3002000000.0 -0.006004458 -0.002992042 -43.46731212992473 -153.51276675255147
3002400000.0 -0.006305473 -0.00249175 -43.37546207061442 -158.43742730786064
3002800000.0 -0.006485261 -0.001727341 -43.463792756264006 -165.0855914636167
3003200000.0 -0.006544991 -0.001032696 -43.57502159881034 -171.03355417474745
3003600000.0 -0.006761881 -0.0002517815 -43.39263230847986 -177.86755257334292
3004000000.0 -0.006569282 0.0003309675 -43.63863236924797 177.11581555405454
3004400000.0 -0.00655544 0.001177978 -43.52994504212349 169.8129691251941
3004800000.0 -0.006326424 0.001803059 -43.63766311662664 164.09221219529638
3005200000.0 -0.006213757 0.00251295 -43.475052076469474 157.98074664804656
3005600000.0 -0.005859163 0.003145818 -43.54322712066626 151.76839545473243
3006000000.0 -0.00558492 0.00377013 -43.428942958358405 145.97847228281614
3006400000.0 -0.005033124 0.004126498 -43.73040737610982 140.65276522212346
3006800000.0 -0.004580129 0.004671641 -43.6853785209898 134.43328893942748
3007200000.0 -0.003977336 0.00518449 -43.69591061268018 127.49399595587154
3007600000.0 -0.003519908 0.005552433 -43.64322627676824 122.37223504976825
3008000000.0 -0.002801839 0.005814809 -43.80256700946436 115.72687854606397
3008400000.0 -0.002260331 0.006200931 -43.60905733226148 110.02754562850826
3008800000.0 -0.001602517 0.006256928 -43.796847575954196 104.36572538699978
3009200000.0 -0.0009193798 0.006291557 -43.933075517490735 98.31373967692309
3009600000.0 -0.0002272156 0.00647787 -43.766015585181194 92.00886401894654
3010000000.0 0.0004215401 0.006392009 -43.86840533915632 86.22692246143576
3010400000.0 0.001083858 0.006205034 -44.014590369548074 80.09187986708785
3010800000.0 0.001756272 0.00632049 -43.661975168552445 74.47100519392498
3011200000.0 0.002369861 0.005954416 -43.86461433567112 68.29741590922774
3011600000.0 0.003039313 0.005590603 -43.92627925134221 61.4694306332285
3012000000.0 0.003701541 0.005271454 -43.820604062312185 54.924008099323686
3012400000.0 0.004161725 0.00490855 -43.82854728593911 49.70698121989849
3012800000.0 0.004646739 0.004444495 -43.83569449847592 43.725605713974005
3013200000.0 0.005089485 0.003855931 -43.89647981891068 37.148550237748466
3013600000.0 0.005547394 0.003367783 -43.75557600417733 31.26163639488384
3014000000.0 0.005880514 0.002711415 -43.774521836068246 24.753703589749495
3014400000.0 0.006010058 0.002038616 -43.94945555236244 18.736973228627697
3014800000.0 0.006244719 0.001480866 -43.852136960789416 13.340633840014487
3015200000.0 0.006300796 0.0008062632 -43.941554859998945 7.2920607963690935
3015600000.0 0.006393239 0.0001961177 -43.88149638951113 1.7570426956028742
3016000000.0 0.006245941 -0.0005721893 -44.0517470165393 -5.234244017427531
3016400000.0 0.006260143 -0.001117331 -43.9321227657573 -10.119778391289199
3016800000.0 0.006006259 -0.00184604 -44.03589736737348 -17.084952739335538
3017200000.0 0.005797537 -0.002477613 -44.00662851229369 -23.13973824543797
3017600000.0 0.005391685 -0.003047927 -44.161199734429985 -29.479536172174516
3018000000.0 0.005082787 -0.003601138 -44.111356074839634 -35.31744727100232
3018400000.0 0.004836421 -0.004178806 -43.88771924749585 -40.82795332080354
3018800000.0 0.004307975 -0.00461348 -43.99649643817189 -46.96126191301566
3019200000.0 0.003692923 -0.005110783 -44.00577839302769 -54.14907304005911
3019600000.0 0.003251225 -0.005363164 -44.052319738715866 -58.77517063790768
3020000000.0 0.002486378 -0.005614217 -44.23641277418086 -66.11280130015801
3020400000.0 0.001977857 -0.005971233 -44.02660929591242 -71.67353294036924
3020800000.0 0.001431109 -0.00607519 -44.09425570307532 -76.74471337903128
3021200000.0 0.0007389241 -0.006225433 -44.05585073945298 -83.23098080890513
3021600000.0 -8.293861e-06 -0.006107573 -44.28261866079978 -90.07780552750933
3022000000.0 -0.0005768207 -0.006095123 -44.26162800970494 -95.40616726050213
3022400000.0 -0.001221072 -0.006133485 -44.07704909877107 -101.25939878530592
3022800000.0 -0.001825697 -0.005762942 -44.37175955090385 -107.5781743642844
3023200000.0 -0.002497733 -0.005642475 -44.193464660739146 -113.8773531519863
3023600000.0 -0.002973436 -0.005298567 -44.327837874400856 -119.30015521813318
3024000000.0 -0.003572783 -0.004942045 -44.2959032085769 -125.86452678787039
3024400000.0 -0.004166554 -0.004550213 -44.19478608894405 -132.47981525334828
3024800000.0 -0.00469033 -0.00406957 -44.13856267879311 -139.05342202193438
3025200000.0 -0.004988308 -0.003642143 -44.185234180036126 -143.86547473502378
3025600000.0 -0.005368279 -0.002964274 -44.24750483063774 -151.0932535563467
3026000000.0 -0.005555753 -0.00253888 -44.28147943892707 -155.44044493134854
3026400000.0 -0.005839911 -0.001862619 -44.25113608907111 -162.31010092171203
3026800000.0 -0.005954863 -0.001344166 -44.28673520437013 -167.28004316519397
3027200000.0 -0.005999572 -0.000696245 -44.37949678991272 -173.38048559670153
3027600000.0 -0.00607307 -2.797712e-05 -44.331742095179635 -179.73605448980868
3028000000.0 -0.006065738 0.0006986847 -44.285085119185496 173.42931757577313
3028400000.0 -0.005943441 0.001358312 -44.29813252789497 167.12672814854864
3028800000.0 -0.005690281 0.001874181 -44.45004128345375 161.76991156542192
